Unnamed: 0,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
0,2018-01-00,3℃,-6℃,晴~多云,东北风,2,59,良,2
1,2018-01-01,3℃,-6℃,晴~多云,东北风,1-2级,59,良,2
2,2018-01-02,2℃,-5℃,阴~多云,东北风,1-2级,49,优,1
3,2018-01-03,2℃,-5℃,多云,北风,1-2级,28,优,1
4,2018-01-04,0℃,-8℃,阴,东北风,1-2级,28,优,1
5,2018-01-05,3℃,-6℃,多云~晴,西北风,1-2级,50,优,1
6,2018-01-06,2℃,-5℃,多云~阴,西南风,1-2级,32,优,1
7,2018-01-07,2℃,-4℃,阴~多云,西南风,1-2级,59,良,2
8,2018-01-08,2℃,-6℃,晴,西北风,4-5级,50,优,1
9,2018-01-09,1℃,-8℃,晴,西北风,3-4级,34,优,1
10,2018-01-10,-2℃,-10℃,晴,西北风,1-2级,26,优,1
11,2018-01-11,-1℃,-10℃,晴,北风,1-2级,24,优,1
12,2018-01-12,2℃,-8℃,晴,西南风,1-2级,75,良,2
13,2018-01-13,3℃,-7℃,多云,南风,1-2级,126,轻度污染,3
14,2018-01-14,6℃,-5℃,晴~多云,西北风,1-2级,187,中度污染,4
15,2018-01-15,2℃,-5℃,阴,东南风,1-2级,47,优,1
16,2018-01-16,4℃,-5℃,多云,南风,1-2级,112,轻度污染,3
17,2018-01-17,6℃,-7℃,多云~晴,西北风,1-2级,82,良,2
18,2018-01-18,5℃,-6℃,晴,西南风,1-2级,80,良,2
19,2018-01-19,7℃,-4℃,晴,南风,1-2级,115,轻度污染,3
20,2018-01-20,3℃,-6℃,晴~多云,东风,1-2级,64,良,2
21,2018-01-21,0℃,-5℃,阴~小雪,东北风,1-2级,63,良,2
22,2018-01-22,-3℃,-10℃,小雪~多云,东风,1-2级,47,优,1
23,2018-01-23,-4℃,-12℃,晴,西北风,3-4级,31,优,1
24,2018-01-24,-4℃,-11℃,晴,西南风,1-2级,34,优,1
25,2018-01-25,-3℃,-11℃,多云,东北风,1-2级,27,优,1
26,2018-01-26,-3℃,-10℃,晴~多云,南风,1-2级,39,优,1
27,2018-01-27,-1℃,-9℃,多云,南风,1-2级,105,轻度污染,3
28,2018-01-28,-1℃,-9℃,晴,西北风,3-4级,55,良,2
29,2018-01-29,1℃,-8℃,晴,西北风,1-2级,57,良,2
30,2018-01-30,4℃,-7℃,晴,西北风,1-2级,36,优,1
31,2018-01-31,3℃,-8℃,晴,西南风,1-2级,60,良,2
32,2018-02-01,4℃,-7℃,多云,北风,1-2级,68,良,2
33,2018-02-02,-1℃,-9℃,晴,北风,3-4级,32,优,1
34,2018-02-03,0℃,-9℃,多云,北风,1-2级,24,优,1
35,2018-02-04,1℃,-8℃,晴,西南风,1-2级,36,优,1
36,2018-02-05,0℃,-10℃,晴,北风,3-4级,24,优,1
37,2018-02-06,3℃,-7℃,多云~阴,西南风,1-2级,56,良,2
38,2018-02-07,2℃,-10℃,多云~晴,北风,4-5级,63,良,2
39,2018-02-08,3℃,-7℃,多云,南风,3-4级,67,良,2
40,2018-02-09,4℃,-9℃,多云,西北风,4-5级,93,良,2
41,2018-02-10,1℃,-9℃,晴,西北风,3-4级,39,优,1
42,2018-02-11,0℃,-9℃,晴,西北风,4-5级,62,良,2
43,2018-02-12,5℃,-7℃,晴,西北风,1-2级,53,良,2
44,2018-02-13,8℃,-4℃,晴~多云,西风,1-2级,78,良,2
45,2018-02-14,6℃,-6℃,多云,北风,1-2级,42,优,1
46,2018-02-15,5℃,-5℃,多云,西南风,1-2级,48,优,1
47,2018-02-16,8℃,-5℃,晴~多云,西南风,1-2级,118,轻度污染,3
48,2018-02-17,5℃,-4℃,多云~阴,南风,1-2级,103,轻度污染,3
49,2018-02-18,8℃,-3℃,多云,南风,1-2级,148,轻度污染,3
50,2018-02-19,6℃,-3℃,多云,南风,1-2级,183,中度污染,4
51,2018-02-20,5℃,-5℃,晴,北风,1-2级,76,良,2
52,2018-02-21,8℃,-4℃,晴,南风,1-2级,53,良,2
53,2018-02-22,9℃,-4℃,多云,西南风,1-2级,42,优,1
54,2018-02-23,10℃,-4℃,多云,东北风,1-2级,45,优,1
55,2018-02-24,3℃,-6℃,多云~晴,南风,1-2级,66,良,2
56,2018-02-25,6℃,-4℃,多云,西南风,1-2级,73,良,2
57,2018-02-26,12℃,-1℃,晴~多云,西南风,1-2级,157,中度污染,4
58,2018-02-27,7℃,0℃,阴,东风,1-2级,220,重度污染,5
59,2018-02-28,9℃,-2℃,多云~晴,西南风,3-4级,139,轻度污染,3
60,2018-03-01,8℃,-3℃,多云,西南风,1-2级,46,优,1
61,2018-03-02,9℃,-1℃,晴~多云,北风,1-2级,95,良,2
62,2018-03-03,13℃,3℃,多云~阴,北风,1-2级,214,重度污染,5
63,2018-03-04,7℃,-2℃,阴~多云,东南风,1-2级,144,轻度污染,3
64,2018-03-05,8℃,-3℃,晴,南风,1-2级,94,良,2
65,2018-03-06,6℃,-3℃,多云~阴,东南风,3-4级,67,良,2
66,2018-03-07,6℃,-2℃,阴~多云,北风,1-2级,65,良,2
67,2018-03-08,8℃,-4℃,晴,东北风,1-2级,62,良,2
68,2018-03-09,10℃,-2℃,多云,西南风,1-2级,132,轻度污染,3
69,2018-03-10,14℃,-2℃,晴,东南风,1-2级,171,中度污染,4
70,2018-03-11,11℃,0℃,多云,南风,1-2级,81,良,2
71,2018-03-12,15℃,3℃,多云~晴,南风,1-2级,174,中度污染,4
72,2018-03-13,17℃,5℃,晴~多云,南风,1-2级,287,重度污染,5
73,2018-03-14,15℃,6℃,多云~阴,东北风,1-2级,293,重度污染,5
74,2018-03-15,12℃,-1℃,多云~晴,东北风,3-4级,70,良,2
75,2018-03-16,10℃,-1℃,多云,南风,1-2级,58,良,2
76,2018-03-17,4℃,0℃,小雨~阴,南风,1-2级,81,良,2
77,2018-03-18,13℃,1℃,多云~晴,西南风,1-2级,134,轻度污染,3
78,2018-03-19,13℃,2℃,多云,东风,1-2级,107,轻度污染,3
79,2018-03-20,10℃,-2℃,多云,南风,1-2级,41,优,1
80,2018-03-21,11℃,1℃,多云,西南风,1-2级,76,良,2
81,2018-03-22,17℃,4℃,晴~多云,西南风,1-2级,112,轻度污染,3
82,2018-03-23,18℃,5℃,多云,北风,1-2级,146,轻度污染,3
83,2018-03-24,22℃,5℃,晴,西南风,1-2级,119,轻度污染,3
84,2018-03-25,24℃,7℃,晴,南风,1-2级,78,良,2
85,2018-03-26,25℃,7℃,多云,西南风,1-2级,151,中度污染,4
86,2018-03-27,27℃,11℃,晴,南风,1-2级,243,重度污染,5
87,2018-03-28,25℃,9℃,多云~晴,东风,1-2级,387,严重污染,6
88,2018-03-29,19℃,7℃,晴,南风,1-2级,119,轻度污染,3
89,2018-03-30,18℃,8℃,多云,南风,1-2级,68,良,2
90,2018-03-31,23℃,9℃,多云~晴,南风,1-2级,125,轻度污染,3
91,2018-04-01,25℃,11℃,晴~多云,南风,1-2级,218,重度污染,5
92,2018-04-02,26℃,11℃,多云,北风,1-2级,287,重度污染,5
93,2018-04-03,14℃,6℃,多云~阴,东北风,3-4级,80,良,2
94,2018-04-04,10℃,1℃,小雨~雨夹雪,东北风,1-2级,35,优,1
95,2018-04-05,10℃,3℃,多云,西南风,1-2级,73,良,2
96,2018-04-06,11℃,4℃,多云~晴,北风,4-5级,86,良,2
97,2018-04-07,12℃,2℃,多云~晴,西北风,3-4级,42,优,1
98,2018-04-08,18℃,5℃,晴,西南风,1-2级,68,良,2
99,2018-04-09,20℃,7℃,晴~多云,南风,1-2级,111,轻度污染,3
100,2018-04-10,24℃,8℃,多云~晴,西北风,4-5级,101,轻度污染,3
101,2018-04-11,23℃,9℃,晴,西南风,3-4级,48,优,1
102,2018-04-12,22℃,7℃,多云~小雨,东南风,1-2级,79,良,2
103,2018-04-13,11℃,6℃,小雨~多云,东南风,1-2级,64,良,2
104,2018-04-14,19℃,5℃,多云~晴,北风,4-5级,122,轻度污染,3
105,2018-04-15,21℃,8℃,晴,西南风,1-2级,72,良,2
106,2018-04-16,23℃,12℃,晴~多云,南风,1-2级,103,轻度污染,3
107,2018-04-17,25℃,12℃,多云~晴,南风,1-2级,145,轻度污染,3
108,2018-04-18,27℃,14℃,多云~晴,西南风,3-4级,147,轻度污染,3
109,2018-04-19,26℃,13℃,多云,东南风,4-5级,170,中度污染,4
110,2018-04-20,28℃,14℃,多云~小雨,南风,4-5级,164,中度污染,4
111,2018-04-21,16℃,12℃,大雨~小雨,东北风,3-4级,105,轻度污染,3
112,2018-04-22,16℃,12℃,阴~多云,东北风,3-4级,27,优,1
113,2018-04-23,19℃,9℃,多云,东北风,3-4级,34,优,1
114,2018-04-24,23℃,10℃,晴,北风,3-4级,41,优,1
115,2018-04-25,25℃,11℃,晴,西南风,3-4级,55,良,2
116,2018-04-26,26℃,12℃,多云~晴,西北风,1-2级,117,轻度污染,3
117,2018-04-27,25℃,13℃,晴,西南风,3-4级,112,轻度污染,3
118,2018-04-28,27℃,17℃,晴,西南风,3-4级,125,轻度污染,3
119,2018-04-29,30℃,16℃,多云,南风,3-4级,193,中度污染,4
120,2018-04-30,24℃,14℃,多云,南风,3-4级,62,良,2
121,2018-05-01,25℃,13℃,阴,东北风,3-4级,121,轻度污染,3
122,2018-05-02,25℃,13℃,多云~晴,北风,3-4级,44,优,1
123,2018-05-03,24℃,12℃,晴,北风,1-2级,48,优,1
124,2018-05-04,27℃,16℃,晴~多云,西南风,1-2级,86,良,2
125,2018-05-05,25℃,13℃,多云,北风,3-4级,177,中度污染,4
126,2018-05-06,28℃,14℃,晴,西南风,1-2级,126,轻度污染,3
127,2018-05-07,28℃,13℃,晴,南风,3-4级,100,良,2
128,2018-05-08,27℃,13℃,晴,东南风,3-4级,64,良,2
129,2018-05-09,29℃,17℃,晴~多云,西南风,3-4级,79,良,2
130,2018-05-10,26℃,18℃,多云,南风,3-4级,118,轻度污染,3
131,2018-05-11,24℃,15℃,阴~多云,东风,1-2级,106,轻度污染,3
132,2018-05-12,28℃,16℃,小雨,东南风,3-4级,186,中度污染,4
133,2018-05-13,30℃,17℃,晴,南风,1-2级,68,良,2
134,2018-05-14,34℃,22℃,晴~多云,南风,3-4级,158,中度污染,4
135,2018-05-15,31℃,22℃,小雨,南风,1-2级,93,良,2
136,2018-05-16,29℃,21℃,多云~小雨,东风,1-2级,142,轻度污染,3
137,2018-05-17,25℃,19℃,小雨~多云,北风,1-2级,70,良,2
138,2018-05-18,28℃,16℃,多云~晴,南风,1-2级,49,优,1
139,2018-05-19,27℃,16℃,多云~小雨,南风,1-2级,69,良,2
140,2018-05-20,21℃,16℃,阴~小雨,东风,1-2级,54,良,2
141,2018-05-21,18℃,14℃,小雨,东南风,1-2级,84,良,2
142,2018-05-22,25℃,10℃,多云~晴,西风,4-5级,103,轻度污染,3
143,2018-05-23,29℃,15℃,晴,西南风,3-4级,153,中度污染,4
144,2018-05-24,31℃,17℃,晴,南风,3-4级,99,良,2
145,2018-05-25,31℃,19℃,多云,西南风,1-2级,98,良,2
146,2018-05-26,30℃,17℃,小雨~多云,西南风,3-4级,143,轻度污染,3
147,2018-05-27,32℃,17℃,多云,西南风,3-4级,89,良,2
148,2018-05-28,30℃,16℃,晴,西北风,4-5级,178,中度污染,4
149,2018-05-29,31℃,16℃,多云,西北风,1-2级,41,优,1
150,2018-05-30,33℃,18℃,晴,西风,1-2级,46,优,1
151,2018-05-31,35℃,19℃,晴,南风,1-2级,79,良,2
152,2018-06-01,36℃,21℃,晴,西南风,3-4级,72,良,2
153,2018-06-02,35℃,21℃,多云,南风,3-4级,98,良,2
154,2018-06-03,32℃,19℃,多云,北风,1-2级,92,良,2
155,2018-06-04,35℃,20℃,晴,西南风,3-4级,69,良,2
156,2018-06-05,38℃,25℃,多云,西南风,4-5级,94,良,2
157,2018-06-06,36℃,25℃,多云,东风,1-2级,102,轻度污染,3
158,2018-06-07,33℃,22℃,多云,西南风,1-2级,60,良,2
159,2018-06-08,32℃,19℃,多云~雷阵雨,西南风,1-2级,43,优,1
160,2018-06-09,23℃,17℃,小雨,北风,1-2级,45,优,1
161,2018-06-10,27℃,17℃,多云,东南风,1-2级,51,良,2
162,2018-06-11,29℃,19℃,多云,西南风,3-4级,85,良,2
163,2018-06-12,32℃,19℃,多云~雷阵雨,东南风,1-2级,116,轻度污染,3
164,2018-06-13,28℃,19℃,雷阵雨~多云,东北风,1-2级,73,良,2
165,2018-06-14,31℃,20℃,多云,南风,1-2级,54,良,2
166,2018-06-15,32℃,20℃,多云,东南风,3-4级,117,轻度污染,3
167,2018-06-16,31℃,21℃,多云~雷阵雨,南风,1-2级,103,轻度污染,3
168,2018-06-17,31℃,22℃,阴~雷阵雨,南风,1-2级,71,良,2
169,2018-06-18,30℃,21℃,雷阵雨,西南风,1-2级,112,轻度污染,3
170,2018-06-19,32℃,20℃,多云~晴,东北风,1-2级,81,良,2
171,2018-06-20,35℃,21℃,晴,南风,1-2级,71,良,2
172,2018-06-21,35℃,24℃,多云,南风,1-2级,73,良,2
173,2018-06-22,30℃,21℃,雷阵雨~多云,东南风,1-2级,83,良,2
174,2018-06-23,35℃,24℃,多云~晴,南风,1-2级,104,轻度污染,3
175,2018-06-24,36℃,25℃,多云,南风,3-4级,98,良,2
176,2018-06-25,34℃,24℃,雷阵雨,南风,1-2级,101,轻度污染,3
177,2018-06-26,36℃,25℃,晴,西南风,3-4级,174,中度污染,4
178,2018-06-27,37℃,25℃,多云,东北风,3-4级,54,良,2
179,2018-06-28,35℃,24℃,多云~晴,北风,1-2级,33,优,1
180,2018-06-29,37℃,25℃,晴,南风,1-2级,59,良,2
181,2018-06-30,37℃,23℃,雷阵雨~多云,东南风,3-4级,81,良,2
182,2018-07-01,35℃,23℃,晴,东南风,1-2级,68,良,2
183,2018-07-02,32℃,23℃,多云~雷阵雨,东南风,3-4级,66,良,2
184,2018-07-03,32℃,24℃,雷阵雨~多云,东南风,1-2级,76,良,2
185,2018-07-04,35℃,26℃,多云,西南风,1-2级,96,良,2
186,2018-07-05,37℃,24℃,多云~雷阵雨,东南风,1-2级,104,轻度污染,3
187,2018-07-06,33℃,23℃,多云~雷阵雨,东南风,3-4级,71,良,2
188,2018-07-07,31℃,23℃,雷阵雨,东南风,1-2级,72,良,2
189,2018-07-08,30℃,23℃,雷阵雨,南风,1-2级,73,良,2
190,2018-07-09,30℃,22℃,雷阵雨~多云,东南风,1-2级,106,轻度污染,3
191,2018-07-10,30℃,22℃,多云~雷阵雨,南风,1-2级,48,优,1
192,2018-07-11,25℃,22℃,雷阵雨~大雨,东北风,1-2级,44,优,1
193,2018-07-12,27℃,22℃,多云,南风,1-2级,46,优,1
194,2018-07-13,28℃,23℃,雷阵雨,东风,1-2级,60,良,2
195,2018-07-14,31℃,24℃,雷阵雨~多云,东南风,1-2级,73,良,2
196,2018-07-15,32℃,25℃,雷阵雨,南风,1-2级,87,良,2
197,2018-07-16,31℃,24℃,中雨~雷阵雨,南风,1-2级,43,优,1
198,2018-07-17,27℃,23℃,中雨~雷阵雨,西风,1-2级,28,优,1
199,2018-07-18,33℃,25℃,多云,南风,1-2级,99,良,2
200,2018-07-19,33℃,27℃,多云~雷阵雨,南风,1-2级,91,良,2
201,2018-07-20,33℃,27℃,多云,西南风,3-4级,116,轻度污染,3
202,2018-07-21,34℃,26℃,多云~雷阵雨,南风,3-4级,96,良,2
203,2018-07-22,34℃,25℃,多云,东南风,1-2级,66,良,2
204,2018-07-23,32℃,25℃,小雨~大雨,东风,1-2级,75,良,2
205,2018-07-24,28℃,26℃,暴雨~雷阵雨,东北风,3-4级,29,优,1
206,2018-07-25,32℃,25℃,多云,北风,1-2级,28,优,1
207,2018-07-26,33℃,25℃,多云~雷阵雨,东北风,1-2级,40,优,1
208,2018-07-27,32℃,23℃,多云,东北风,1-2级,65,良,2
209,2018-07-28,33℃,24℃,多云~晴,东南风,1-2级,83,良,2
210,2018-07-29,33℃,25℃,多云,东南风,1-2级,101,轻度污染,3
211,2018-07-30,34℃,25℃,晴,东南风,1-2级,104,轻度污染,3
212,2018-07-31,35℃,26℃,晴,南风,1-2级,99,良,2
213,2018-08-01,35℃,27℃,多云~雷阵雨,东南风,1-2级,91,良,2
214,2018-08-02,36℃,26℃,多云~晴,南风,1-2级,118,轻度污染,3
215,2018-08-03,36℃,26℃,晴,南风,1-2级,86,良,2
216,2018-08-04,36℃,27℃,晴~多云,南风,1-2级,96,良,2
217,2018-08-05,35℃,25℃,雷阵雨~中雨,东风,1-2级,61,良,2
218,2018-08-06,30℃,25℃,小雨~雷阵雨,东风,1-2级,52,良,2
219,2018-08-07,29℃,24℃,雷阵雨~中雨,东南风,1-2级,85,良,2
220,2018-08-08,29℃,24℃,雷阵雨~阴,东北风,1-2级,45,优,1
221,2018-08-09,30℃,24℃,多云,南风,1-2级,49,优,1
222,2018-08-10,33℃,25℃,多云~雷阵雨,南风,1-2级,71,良,2
223,2018-08-11,30℃,23℃,雷阵雨~中雨,东风,1-2级,60,良,2
224,2018-08-12,30℃,24℃,雷阵雨,东南风,1-2级,74,良,2
225,2018-08-13,31℃,24℃,雷阵雨~中雨,东北风,1-2级,62,良,2
226,2018-08-14,29℃,24℃,中雨~小雨,东北风,1-2级,42,优,1
227,2018-08-15,32℃,24℃,多云,东北风,3-4级,33,优,1
228,2018-08-16,30℃,21℃,晴~多云,东北风,1-2级,40,优,1
229,2018-08-17,30℃,22℃,多云~雷阵雨,东南风,1-2级,69,良,2
230,2018-08-18,28℃,23℃,小雨~中雨,北风,3-4级,40,优,1
231,2018-08-19,26℃,23℃,中雨~小雨,东北风,1-2级,37,优,1
232,2018-08-20,32℃,23℃,多云~晴,北风,1-2级,41,优,1
233,2018-08-21,32℃,22℃,多云,北风,1-2级,38,优,1
234,2018-08-22,28℃,21℃,雷阵雨~多云,西南风,1-2级,48,优,1
235,2018-08-23,31℃,21℃,多云,北风,1-2级,43,优,1
236,2018-08-24,30℃,20℃,晴,北风,1-2级,40,优,1
237,2018-08-25,31℃,22℃,多云~小雨,南风,1-2级,62,良,2
238,2018-08-26,31℃,22℃,雷阵雨,东南风,1-2级,76,良,2
239,2018-08-27,30℃,22℃,多云~雷阵雨,东南风,1-2级,89,良,2
240,2018-08-28,29℃,22℃,小雨~多云,南风,1-2级,58,良,2
241,2018-08-29,31℃,20℃,晴~多云,北风,3-4级,44,优,1
242,2018-08-30,29℃,20℃,多云,南风,1-2级,47,优,1
243,2018-08-31,29℃,20℃,多云~阴,东南风,1-2级,48,优,1
244,2018-09-01,27℃,19℃,阴~小雨,南风,1-2级,50,优,1
245,2018-09-02,27℃,19℃,小雨~多云,南风,1-2级,55,良,2
246,2018-09-03,30℃,19℃,晴,北风,3-4级,70,良,2
247,2018-09-04,31℃,18℃,晴,西南风,3-4级,24,优,1
248,2018-09-05,31℃,19℃,晴~多云,西南风,3-4级,34,优,1
249,2018-09-06,27℃,18℃,多云~晴,西北风,4-5级,37,优,1
250,2018-09-07,27℃,16℃,晴,西北风,3-4级,22,优,1
251,2018-09-08,27℃,15℃,多云~晴,北风,1-2级,28,优,1
252,2018-09-09,28℃,16℃,晴,西南风,1-2级,51,良,2
253,2018-09-10,28℃,19℃,多云,南风,1-2级,65,良,2
254,2018-09-11,26℃,19℃,多云,南风,1-2级,68,良,2
255,2018-09-12,29℃,19℃,多云,南风,1-2级,59,良,2
256,2018-09-13,29℃,20℃,多云~阴,南风,1-2级,107,轻度污染,3
257,2018-09-14,28℃,19℃,小雨~多云,南风,1-2级,128,轻度污染,3
258,2018-09-15,26℃,15℃,多云,北风,3-4级,42,优,1
259,2018-09-16,25℃,14℃,多云~晴,北风,1-2级,29,优,1
260,2018-09-17,27℃,17℃,多云~阴,北风,1-2级,37,优,1
261,2018-09-18,25℃,17℃,阴~多云,西南风,1-2级,50,优,1
262,2018-09-19,26℃,17℃,多云,南风,1-2级,52,良,2
263,2018-09-20,27℃,16℃,多云,西南风,1-2级,63,良,2
264,2018-09-21,25℃,14℃,晴,西北风,3-4级,50,优,1
265,2018-09-22,24℃,13℃,晴,西北风,3-4级,28,优,1
266,2018-09-23,23℃,12℃,晴,西北风,4-5级,28,优,1
267,2018-09-24,23℃,11℃,晴,北风,1-2级,28,优,1
268,2018-09-25,24℃,12℃,晴~多云,南风,1-2级,44,优,1
269,2018-09-26,24℃,14℃,多云,南风,1-2级,53,良,2
270,2018-09-27,22℃,12℃,小雨,南风,1-2级,84,良,2
271,2018-09-28,24℃,11℃,多云,西南风,3-4级,84,良,2
272,2018-09-29,22℃,11℃,晴,北风,3-4级,21,优,1
273,2018-09-30,19℃,13℃,多云,西北风,4-5级,22,优,1
274,2018-10-01,24℃,12℃,晴,北风,4-5级,25,优,1
275,2018-10-02,24℃,11℃,晴,西北风,1-2级,31,优,1
276,2018-10-03,25℃,10℃,晴,北风,1-2级,36,优,1
277,2018-10-04,25℃,12℃,晴,南风,1-2级,65,良,2
278,2018-10-05,24℃,14℃,多云,南风,1-2级,105,轻度污染,3
279,2018-10-06,20℃,8℃,晴,北风,4-5级,32,优,1
280,2018-10-07,21℃,7℃,晴,西风,1-2级,35,优,1
281,2018-10-08,21℃,8℃,多云,北风,1-2级,37,优,1
282,2018-10-09,15℃,4℃,多云~晴,西北风,4-5级,21,优,1
283,2018-10-10,17℃,4℃,多云~晴,西北风,1-2级,25,优,1
284,2018-10-11,18℃,5℃,晴~多云,北风,1-2级,30,优,1
285,2018-10-12,20℃,8℃,多云~晴,南风,1-2级,62,良,2
286,2018-10-13,20℃,8℃,多云,西北风,1-2级,106,轻度污染,3
287,2018-10-14,21℃,10℃,多云,南风,1-2级,177,中度污染,4
288,2018-10-15,17℃,11℃,小雨,北风,1-2级,198,中度污染,4
289,2018-10-16,17℃,7℃,多云~晴,东北风,1-2级,88,良,2
290,2018-10-17,17℃,5℃,晴,北风,1-2级,54,良,2
291,2018-10-18,18℃,5℃,晴,南风,1-2级,49,优,1
292,2018-10-19,19℃,7℃,多云,南风,1-2级,60,良,2
293,2018-10-20,18℃,7℃,多云,南风,1-2级,86,良,2
294,2018-10-21,18℃,7℃,多云,南风,1-2级,143,轻度污染,3
295,2018-10-22,19℃,5℃,多云~晴,西北风,1-2级,176,中度污染,4
296,2018-10-23,19℃,4℃,晴,西南风,3-4级,37,优,1
297,2018-10-24,20℃,6℃,晴~多云,南风,1-2级,70,良,2
298,2018-10-25,15℃,8℃,多云,西风,1-2级,119,轻度污染,3
299,2018-10-26,14℃,3℃,晴,西北风,4-5级,46,优,1
300,2018-10-27,17℃,5℃,多云,西南风,1-2级,33,优,1
301,2018-10-28,17℃,4℃,多云~晴,西北风,4-5级,32,优,1
302,2018-10-29,15℃,3℃,晴,北风,3-4级,22,优,1
303,2018-10-30,16℃,1℃,晴,北风,1-2级,33,优,1
304,2018-10-31,17℃,3℃,晴,西南风,1-2级,47,优,1
305,2018-11-01,17℃,3℃,晴,南风,1-2级,69,良,2
306,2018-11-02,18℃,4℃,晴,南风,1-2级,149,轻度污染,3
307,2018-11-03,16℃,6℃,多云,南风,1-2级,206,重度污染,5
308,2018-11-04,10℃,2℃,小雨~多云,北风,3-4级,115,轻度污染,3
309,2018-11-05,10℃,2℃,多云,西南风,1-2级,30,优,1
310,2018-11-06,12℃,0℃,多云,北风,1-2级,33,优,1
311,2018-11-07,13℃,3℃,多云,西南风,1-2级,49,优,1
312,2018-11-08,14℃,2℃,多云,西南风,1-2级,90,良,2
313,2018-11-09,15℃,1℃,晴~多云,北风,3-4级,69,良,2
314,2018-11-10,11℃,0℃,多云,北风,1-2级,35,优,1
315,2018-11-11,13℃,1℃,多云~晴,西南风,1-2级,70,良,2
316,2018-11-12,14℃,2℃,晴,南风,1-2级,124,轻度污染,3
317,2018-11-13,13℃,5℃,多云,东南风,1-2级,219,重度污染,5
318,2018-11-14,13℃,5℃,多云,南风,1-2级,266,重度污染,5
319,2018-11-15,8℃,1℃,小雨~多云,北风,3-4级,100,良,2
320,2018-11-16,8℃,-1℃,晴~多云,北风,1-2级,28,优,1
321,2018-11-17,9℃,-2℃,多云~晴,西南风,1-2级,66,良,2
322,2018-11-18,11℃,-3℃,晴,西北风,3-4级,70,良,2
323,2018-11-19,10℃,-2℃,晴~多云,南风,1-2级,78,良,2
324,2018-11-20,9℃,-1℃,多云,北风,1-2级,74,良,2
325,2018-11-21,9℃,-3℃,晴,西北风,2级,43,优,1
326,2018-11-22,8℃,-3℃,晴~多云,东南风,1级,55,良,2
327,2018-11-23,7℃,0℃,多云,东北风,2级,93,良,2
328,2018-11-24,9℃,-3℃,晴,西南风,1级,114,轻度污染,3
329,2018-11-25,10℃,-3℃,晴,东南风,1级,120,轻度污染,3
330,2018-11-26,10℃,0℃,多云,东南风,1级,245,重度污染,5
331,2018-11-27,9℃,-3℃,晴~多云,西北风,2级,198,中度污染,4
332,2018-11-28,8℃,-3℃,晴,东北风,1级,115,轻度污染,3
333,2018-11-29,7℃,-4℃,晴,东南风,1级,107,轻度污染,3
334,2018-11-30,8℃,-3℃,晴,东南风,1级,123,轻度污染,3
335,2018-12-01,7℃,0℃,多云,东南风,1级,163,中度污染,4
336,2018-12-02,9℃,2℃,雾~多云,东北风,1级,234,重度污染,5
337,2018-12-03,8℃,-3℃,多云~晴,东北风,3级,198,中度污染,4
338,2018-12-04,4℃,-6℃,晴~多云,西北风,2级,61,良,2
339,2018-12-05,1℃,-4℃,阴~多云,东南风,1级,73,良,2
340,2018-12-06,-2℃,-9℃,晴,西北风,3级,40,优,1
341,2018-12-07,-4℃,-10℃,晴,西北风,3级,33,优,1
342,2018-12-08,-2℃,-10℃,晴~多云,西北风,2级,37,优,1
343,2018-12-09,-1℃,-10℃,多云~晴,东南风,1级,62,良,2
344,2018-12-10,1℃,-6℃,多云,东北风,1级,79,良,2
345,2018-12-11,-1℃,-10℃,晴,西北风,3级,56,良,2
346,2018-12-12,1℃,-8℃,晴,西南风,1级,50,优,1
347,2018-12-13,3℃,-7℃,晴,西北风,2级,42,优,1
348,2018-12-14,4℃,-6℃,晴,东南风,1级,68,良,2
349,2018-12-15,2℃,-6℃,霾,东南风,1级,117,轻度污染,3
350,2018-12-16,7℃,-4℃,晴,西北风,2级,108,轻度污染,3
351,2018-12-17,7℃,-5℃,晴,西北风,2级,47,优,1
352,2018-12-18,9℃,-4℃,晴,西北风,2级,53,良,2
353,2018-12-19,9℃,-5℃,晴~多云,西北风,1级,59,良,2
354,2018-12-20,6℃,-4℃,霾,东南风,1级,78,良,2
355,2018-12-21,10℃,-2℃,晴~多云,西北风,1级,98,良,2
356,2018-12-22,8℃,-6℃,多云,西北风,2级,106,轻度污染,3
357,2018-12-23,1℃,-9℃,晴,西北风,3级,106,轻度污染,3
358,2018-12-24,2℃,-8℃,晴,西南风,1级,106,轻度污染,3
359,2018-12-25,2℃,-9℃,晴,东北风,2级,94,良,2
360,2018-12-26,-2℃,-11℃,晴~多云,东北风,2级,26,优,1
361,2018-12-27,-5℃,-12℃,多云~晴,西北风,3级,48,优,1
362,2018-12-28,-3℃,-11℃,晴,西北风,3级,40,优,1
363,2018-12-29,-3℃,-12℃,晴,西北风,2级,29,优,1
364,2018-12-30,-2℃,-11℃,晴~多云,东北风,1级,31,优,1
365,2018-12-31,-2℃,-10℃,多云,东北风,1级,56,良,2
