订单编号,用户编号,下单日期,城市,品类,单价,数量,折扣比例,运费,支付方式,订单状态
O100103,U0015,2024-01-12,Guangzhou,Clothes,643.0,2,0.0,0.0,WeChat,paid
O100081,U0036,2024-06-28,chengdu,Clothes,535.87,1,0.1,6.0,Alipay,paid
O100038,U0059,2024-04-29,Guangzhou,Clothes,400.83,1,0.0,0.0,Alipay,paid
O100320,U0071,2024-04-07,Guangzhou,Clothes,583.8,1,0.1,0.0,Alipay,paid
O100198,U0029,2024-02-08,Guangzhou,Electronics,297.28,1,0.0,0.0,Alipay,paid
O100262,U0002,2024-01-10,shenzhen ,Clothes,407.24,3,0.0,0.0,WeChat,paid
O100146,U0007,2024-09-21,  Shanghai,Electronics,186.54,3,0.15,10.0,Alipay,paid
O100400,U0007,2024-09-30,shenzhen ,Clothes,540.98,5,0.05,6.0,WeChat,paid
O100147,U0073,2024-07-24,Guangzhou,Home,414.57,2,0.15,6.0,Alipay,paid
O100312,U0059,2024-07-25,Guangzhou,Clothes,137.97,1,,6.0,WeChat,paid
O100291,U0075,2024-01-01,beijing,Clothes,290.93,1,0.1,0.0,CreditCard,paid
O100123,U0045,2024-06-25,shenzhen ,Home,711.8,2,0.05,6.0,WeChat,paid
O100375,U0099,2024-04-16,beijing,Electronics,733.77,2,0.0,0.0,WeChat,paid
O100096,U0034,2024-06-27,beijing,Electronics,114.68,2,0.0,0.0,Alipay,closed
O100143,U0103,2024-04-09,chengdu,Electronics,122.75,1,0.0,0.0,WeChat,paid
O100239,U0009,2024-01-08,  Shanghai,Home,466.06,2,0.15,0.0,Alipay,paid
O100277,U0096,2024-04-14,chengdu,Electronics,726.88,2,0.0,,WeChat,paid
O100097,U0074,2024-04-10,  Shanghai,Home,499.71,2,0.05,10.0,WeChat,paid
O100356,U0099,2024-01-05,beijing,Electronics,70.86,3,0.15,10.0,Alipay,paid
O100122,U0015,2024-08-14,,Electronics,174.03,1,0.0,0.0,WeChat,paid
O100183,U0051,2024-07-12,  Shanghai,Clothes,275.01,5,0.0,0.0,WeChat,paid
O100202,U0071,2024-08-29,shenzhen ,Home,395.16,4,,10.0,WeChat,paid
O100246,U0024,2024-01-28,chengdu,Clothes,668.72,5,0.0,10.0,WeChat,closed
O100311,U0020,2024-09-11,  Shanghai,Electronics,108.99,2,0.0,6.0,CreditCard,paid
O100414,U0102,2024-01-13,shenzhen ,Home,689.38,2,0.0,0.0,WeChat,paid
O100357,U0019,2024-04-01,shenzhen ,Clothes,381.87,1,0.0,6.0,WeChat,paid
O100305,U0073,2024-09-24,beijing,Electronics,174.52,2,0.0,6.0,WeChat,paid
O100403,U0033,2024-07-10,  Shanghai,Electronics,-707.9,1,,10.0,Alipay,paid
O100382,U0110,2024-09-09,Guangzhou,Home,726.79,1,0.0,6.0,Alipay,paid
O100125,U0089,2024-02-05,beijing,Home,243.01,2,0.05,0.0,Alipay,paid
O100488,U0043,2024-09-29,Guangzhou,Clothes,770.99,1,0.05,10.0,Alipay,paid
O100223,U0092,2024-06-12,chengdu,Home,275.99,1,0.0,10.0,Alipay,paid
O100426,U0111,2024-04-20,chengdu,Electronics,155.53,1,0.0,6.0,Alipay,paid
O100219,U0030,2024-07-31,  Shanghai,Home,635.12,1,0.1,,Alipay,paid
O100129,U0001,2024-07-08,  Shanghai,Clothes,736.76,2,0.0,0.0,WeChat,paid
O100428,U0097,2024-08-23,Guangzhou,Electronics,664.26,1,0.0,0.0,Alipay,paid
O100484,U0017,2024-06-16,,Clothes,730.4,1,0.05,,Alipay,paid
O100334,U0023,2024-09-18,Guangzhou,Home,445.44,1,,6.0,CreditCard,closed
O100384,U0066,2024-07-25,beijing,Clothes,787.15,1,0.05,,WeChat,paid
O100409,U0119,2024-08-18,Guangzhou,Home,581.1,2,0.0,0.0,WeChat,paid
O100361,U0020,2024-05-12,Guangzhou,Clothes,102.27,1,0.0,6.0,Alipay,paid
O100299,U0070,2024-02-08,chengdu,Clothes,346.66,3,0.0,0.0,WeChat,paid
O100294,U0038,2024-07-23,beijing,Home,537.76,2,0.1,0.0,Alipay,paid
O100373,U0104,2024-08-26,Guangzhou,Electronics,642.37,1,0.0,6.0,Alipay,paid
O100346,U0002,2024-01-08,  Shanghai,Electronics,425.12,4,0.05,6.0,WeChat,paid
O100112,U0082,2024-03-30,  Shanghai,Clothes,283.85,1,0.0,10.0,Alipay,refund
O100179,U0015,2024-05-20,shenzhen ,Clothes,601.67,2,0.0,10.0,WeChat,closed
O100477,U0086,2024-06-09,beijing,Electronics,349.59,1,0.0,6.0,Alipay,paid
O100352,U0032,2024-06-08,Guangzhou,Clothes,371.97,2,0.0,6.0,Alipay,paid
O100336,U0094,2024-07-23,,Electronics,419.75,2,0.0,10.0,Alipay,paid
O100491,U0039,2024-04-03,beijing,Electronics,666.93,2,0.0,6.0,Alipay,paid
O100404,U0048,2024-04-28,  Shanghai,Clothes,353.44,1,0.1,10.0,Alipay,paid
O100233,U0105,2024-09-15,beijing,Electronics,516.22,1,0.0,10.0,Alipay,paid
O100456,U0097,2024-04-27,  Shanghai,Home,185.86,3,0.0,0.0,WeChat,paid
O100317,U0019,2024-07-10,  Shanghai,Clothes,428.24,3,0.0,0.0,WeChat,paid
O100164,U0065,2024-05-01,  Shanghai,Clothes,793.61,2,0.1,10.0,Alipay,paid
O100136,U0081,2024-09-29,shenzhen ,Electronics,531.81,1,0.0,6.0,WeChat,paid
O100197,U0043,2024-01-19,chengdu,Electronics,503.28,2,0.1,10.0,WeChat,paid
O100258,U0058,2024-09-09,beijing,Electronics,396.72,1,0.1,12.0,Alipay,paid
O100232,U0077,2024-02-23,beijing,Clothes,348.57,2,0.15,10.0,Alipay,paid
O100115,U0024,2024-07-14,beijing,Electronics,310.29,2,0.0,12.0,WeChat,paid
O100120,U0041,2024-06-12,shenzhen ,Electronics,207.74,2,0.0,10.0,WeChat,paid
O100355,U0105,2024-02-20,Guangzhou,Electronics,41.19,1,0.1,6.0,WeChat,closed
O100224,U0089,2024-08-14,shenzhen ,Clothes,358.54,1,0.15,0.0,Alipay,paid
O100410,U0022,2024-03-26,beijing,Electronics,714.4,2,0.05,6.0,Alipay,closed
O100438,U0044,2024-03-10,Guangzhou,Clothes,676.33,2,0.0,0.0,Alipay,paid
O100127,U0009,2024-05-31,  Shanghai,Electronics,691.87,2,0.0,12.0,WeChat,paid
O100285,U0032,2024-06-13,  Shanghai,Home,46.22,1,0.0,6.0,Alipay,paid
O100432,U0019,2024-01-06,chengdu,Electronics,291.39,3,0.0,6.0,CreditCard,paid
O100107,U0062,2024-02-04,beijing,Electronics,474.29,2,0.0,0.0,WeChat,paid
O100377,U0089,2024-03-01,chengdu,Electronics,143.2,2,0.15,0.0,WeChat,refund
O100331,U0057,2024-09-29,Guangzhou,Clothes,380.59,1,0.05,6.0,WeChat,paid
O100133,U0063,2024-07-01,shenzhen ,Electronics,676.76,1,0.0,10.0,Alipay,paid
O100370,U0072,2024-02-16,beijing,Clothes,638.43,2,0.05,10.0,WeChat,paid
O100044,U0062,2024-05-08,chengdu,Electronics,327.69,1,0.05,10.0,Alipay,closed
O100470,U0067,2024-02-16,chengdu,Electronics,368.7,1,0.0,0.0,Alipay,refund
O100065,U0114,2024-08-07,beijing,Electronics,137.13,2,0.1,0.0,Alipay,paid
O100283,U0044,2024-01-23,  Shanghai,Clothes,70.99,3,0.05,10.0,WeChat,paid
O100085,U0002,2024-04-05,,Electronics,535.04,1,0.0,10.0,WeChat,paid
O100242,U0097,2024-03-30,  Shanghai,Electronics,302.54,1,0.05,10.0,Alipay,paid
O100186,U0103,2024-06-13,  Shanghai,Electronics,703.79,1,0.0,0.0,Alipay,paid
O100391,U0033,2024-08-03,beijing,Home,363.45,1,0.1,10.0,CreditCard,paid
O100159,U0044,2024-04-18,Guangzhou,Clothes,144.86,1,0.0,0.0,CreditCard,refund
O100012,U0075,2024-03-03,chengdu,Clothes,171.81,1,0.0,,WeChat,paid
O100035,U0089,2024-06-06,beijing,Electronics,374.41,2,0.0,0.0,Alipay,paid
O100028,U0060,2024-07-14,  Shanghai,Electronics,208.14,3,0.0,0.0,WeChat,paid
O100170,U0001,2024-05-25,  Shanghai,Home,591.8,1,0.15,,WeChat,paid
O100142,U0106,2024-06-25,beijing,Home,148.56,2,0.1,6.0,WeChat,paid
O100406,U0059,2024-07-20,shenzhen ,Electronics,29.83,2,0.1,0.0,Alipay,paid
O100189,U0096,2024-08-07,shenzhen ,Clothes,369.92,1,0.0,12.0,CreditCard,paid
O100221,U0075,2024-09-08,beijing,Clothes,363.36,1,0.0,10.0,WeChat,paid
O100095,U0044,2024-02-02,chengdu,Electronics,180.44,4,0.15,6.0,Alipay,paid
O100051,U0116,2024-04-27,  Shanghai,Electronics,556.75,2,0.0,10.0,WeChat,paid
O100240,U0062,2024-05-01,  Shanghai,Electronics,478.46,1,0.1,10.0,WeChat,paid
O100398,U0120,2024-08-25,chengdu,Home,345.85,4,0.0,12.0,CreditCard,paid
O100386,U0035,2024-02-25,  Shanghai,Clothes,177.57,1,0.0,0.0,WeChat,paid
O100178,U0079,2024-06-22,shenzhen ,Clothes,47.54,1,0.0,6.0,Alipay,paid
O100041,U0060,2024-08-16,Guangzhou,Electronics,595.14,2,0.0,6.0,WeChat,paid
O100444,U0006,2024-09-03,  Shanghai,Home,273.58,1,0.0,6.0,Alipay,paid
O100395,U0021,2024-01-07,chengdu,Clothes,646.81,2,0.0,10.0,Alipay,refund
O100206,U0028,2024-05-27,chengdu,Clothes,457.96,3,0.05,,Alipay,paid
O100282,U0053,2024-09-15,chengdu,Clothes,625.83,1,0.0,6.0,Alipay,paid
O100254,U0052,2024-08-07,shenzhen ,Electronics,676.71,2,,6.0,Alipay,paid
O100420,U0027,2024-04-18,chengdu,Clothes,660.88,1,0.0,0.0,WeChat,paid
O100004,U0107,2024-09-20,beijing,Electronics,499.87,1,0.0,0.0,WeChat,paid
O100256,U0062,2024-02-15,Guangzhou,Electronics,646.06,3,0.0,10.0,WeChat,paid
O100457,U0116,2024-04-03,Guangzhou,Clothes,45.89,1,0.0,10.0,WeChat,closed
O100100,U0014,2024-06-16,chengdu,Electronics,433.64,4,0.1,10.0,Alipay,closed
O100226,U0062,2024-01-20,Guangzhou,Clothes,192.08,5,0.05,10.0,WeChat,paid
O100142,U0106,2024-06-28,beijing,Home,148.56,2,0.1,8.0,WeChat,paid
O100213,U0006,2024-02-13,beijing,Electronics,408.64,1,,12.0,Alipay,closed
O100436,U0049,2024-05-29,beijing,Clothes,504.32,3,0.0,6.0,Alipay,paid
O100171,U0005,2024-08-26,  Shanghai,Electronics,500.47,1,0.0,10.0,Alipay,paid
O100098,U0062,2024-09-24,  Shanghai,Electronics,624.21,1,0.0,10.0,Alipay,paid
O100292,U0056,2024-02-20,shenzhen ,Home,721.87,1,0.0,6.0,CreditCard,refund
O100215,U0028,2024-06-08,  Shanghai,Home,65.67,2,0.0,6.0,WeChat,refund
O100061,U0004,2024-06-02,shenzhen ,Electronics,516.6,5,,6.0,WeChat,refund
O100047,U0062,2024-01-01,beijing,Clothes,715.83,1,0.1,10.0,Alipay,paid
O100032,U0058,2024-09-25,shenzhen ,Clothes,400.53,1,0.15,0.0,Alipay,paid
O100267,U0056,2024-03-05,  Shanghai,Electronics,495.98,2,0.05,12.0,WeChat,paid
O100327,U0104,2024-03-21,chengdu,Home,149.3,3,0.0,10.0,WeChat,paid
O100200,U0013,2024-06-21,beijing,Home,92.53,4,0.15,10.0,Alipay,paid
O100455,U0060,2024-05-13,,Electronics,258.14,1,0.0,10.0,Alipay,paid
O100027,U0064,2024-04-12,Guangzhou,Electronics,29.45,2,0.0,10.0,Alipay,paid
O100397,U0020,2024-04-20,chengdu,Clothes,774.36,1,0.0,0.0,WeChat,paid
O100230,U0062,2024-05-22,  Shanghai,Home,747.83,1,0.05,0.0,CreditCard,paid
O100260,U0012,2024-09-12,shenzhen ,Electronics,82.87,5,,10.0,CreditCard,paid
O100378,U0099,2024-01-26,chengdu,Electronics,562.8,1,0.0,6.0,Alipay,paid
O100288,U0119,2024-05-24,beijing,Electronics,128.61,1,0.0,10.0,Alipay,paid
O100162,U0091,2024-07-04,  Shanghai,Electronics,212.41,99,0.0,10.0,WeChat,paid
O100433,U0004,2024-06-28,chengdu,Electronics,371.27,1,0.1,10.0,CreditCard,paid
O100138,U0035,2024-03-24,shenzhen ,Clothes,445.12,1,0.05,6.0,Alipay,paid
O100062,U0089,2024-05-23,shenzhen ,Electronics,498.87,1,0.0,10.0,WeChat,paid
O100135,U0115,2024-08-04,Guangzhou,Home,625.63,1,0.15,10.0,WeChat,paid
O100128,U0088,2024-05-30,chengdu,Clothes,680.28,3,0.15,6.0,CreditCard,closed
O100486,U0033,2024-03-24,shenzhen ,Electronics,647.83,1,0.05,10.0,WeChat,paid
O100008,U0103,2024-08-02,shenzhen ,Electronics,352.35,3,,0.0,WeChat,refund
O100326,U0082,2024-02-20,shenzhen ,Clothes,398.06,1,0.0,0.0,WeChat,paid
O100473,U0024,2024-05-21,Guangzhou,Home,446.39,2,0.0,12.0,Alipay,paid
O100064,U0014,2024-07-03,chengdu,Electronics,424.36,1,,0.0,CreditCard,paid
O100300,U0086,2024-06-02,shenzhen ,Electronics,222.92,1,0.0,0.0,WeChat,paid
O100014,U0117,2024-05-04,  Shanghai,Electronics,343.02,1,0.0,10.0,WeChat,paid
O100156,U0088,2024-05-23,Guangzhou,Electronics,701.19,3,0.15,6.0,WeChat,paid
O100040,U0092,2024-02-27,shenzhen ,Electronics,273.25,2,,0.0,Alipay,paid
O100379,U0025,2024-09-13,,Electronics,638.74,1,0.0,0.0,Alipay,paid
O100469,U0058,2024-05-19,beijing,Electronics,106.57,5,0.0,6.0,WeChat,paid
O100411,U0110,2024-05-05,chengdu,Electronics,81.94,5,0.1,12.0,WeChat,paid
O100216,U0108,2024-06-21,shenzhen ,Electronics,280.71,1,0.05,6.0,CreditCard,paid
O100279,U0001,2024-01-06,chengdu,Electronics,232.12,1,0.05,12.0,Alipay,paid
O100481,U0106,2024-05-17,Guangzhou,Clothes,238.43,1,0.15,10.0,WeChat,paid
O100439,U0092,2024-04-21,beijing,Home,387.6,2,0.0,10.0,WeChat,paid
O100337,U0042,2024-05-05,Guangzhou,Clothes,648.99,1,0.05,0.0,WeChat,refund
O100236,U0070,2024-08-11,Guangzhou,Clothes,339.73,3,0.0,0.0,Alipay,paid
O100207,U0066,2024-01-01,,Clothes,457.31,5,0.0,10.0,WeChat,paid
O100212,U0117,2024-02-27,chengdu,Clothes,663.54,1,0.05,10.0,Alipay,paid
O100295,U0024,2024-09-16,Guangzhou,Electronics,771.45,2,0.0,0.0,Alipay,refund
O100499,U0024,2024-02-29,shenzhen ,Clothes,29.68,1,0.0,6.0,WeChat,paid
O100251,U0096,2024-05-24,shenzhen ,Home,222.25,1,0.1,,Alipay,paid
O100498,U0025,2024-01-01,chengdu,Electronics,208.68,1,0.0,0.0,WeChat,paid
O100467,U0095,2024-01-20,  Shanghai,Electronics,543.17,1,,10.0,WeChat,paid
O100303,U0016,2024-04-27,  Shanghai,Home,220.09,1,0.05,,WeChat,paid
O100350,U0069,2024-06-03,shenzhen ,Electronics,699.05,2,0.15,6.0,WeChat,paid
O100269,U0059,2024-08-11,  Shanghai,Clothes,606.07,1,0.0,10.0,WeChat,paid
O100201,U0032,2024-05-20,  Shanghai,Electronics,478.8,1,0.1,10.0,WeChat,paid
O100161,U0086,2024-02-11,Guangzhou,Clothes,27.28,1,0.0,0.0,CreditCard,closed
O100043,U0015,2024-05-06,  Shanghai,Clothes,313.19,1,0.0,10.0,Alipay,paid
O100217,U0044,2024-05-28,Guangzhou,Clothes,632.22,2,0.0,0.0,Alipay,paid
O100401,U0067,2024-08-14,beijing,Electronics,515.04,1,0.05,0.0,WeChat,paid
O100190,U0004,2024-05-11,shenzhen ,Home,583.22,5,0.05,10.0,Alipay,paid
O100309,U0093,2024-09-07,beijing,Electronics,494.65,2,0.0,0.0,Alipay,paid
O100259,U0052,2024-03-22,Guangzhou,Electronics,124.11,1,0.0,10.0,WeChat,paid
O100105,U0078,2024-09-09,  Shanghai,Clothes,784.38,1,0.0,10.0,Alipay,paid
O100053,U0003,2024-03-29,Guangzhou,Electronics,218.64,2,0.0,6.0,WeChat,paid
O100389,U0041,2024-01-28,shenzhen ,Electronics,530.35,1,0.0,6.0,WeChat,paid
O100001,U0052,2024-02-05,beijing,Electronics,417.35,1,0.0,0.0,Alipay,paid
O100450,U0113,2024-08-10,shenzhen ,Electronics,672.89,1,0.0,6.0,CreditCard,refund
O100492,U0093,2024-04-04,Guangzhou,Clothes,239.59,5,0.0,0.0,WeChat,closed
O100049,U0108,2024-04-05,Guangzhou,Clothes,633.78,4,0.0,10.0,WeChat,paid
O100419,U0027,2024-08-20,  Shanghai,Electronics,387.51,1,0.0,10.0,CreditCard,paid
O100080,U0081,2024-04-09,Guangzhou,Home,624.23,1,,6.0,CreditCard,paid
O100205,U0086,2024-02-27,beijing,Clothes,472.39,2,0.05,10.0,CreditCard,paid
O100034,U0108,2024-04-15,Guangzhou,Clothes,447.41,1,0.0,12.0,WeChat,paid
O100430,U0061,2024-02-11,Guangzhou,Home,207.1,1,0.05,0.0,Alipay,paid
O100263,U0003,2024-08-29,  Shanghai,Electronics,360.74,99,0.1,0.0,Alipay,paid
O100427,U0064,2024-09-20,Guangzhou,Electronics,575.37,1,0.1,10.0,WeChat,paid
O100366,U0024,2024-03-18,Guangzhou,Home,772.29,3,,0.0,Alipay,paid
O100091,U0093,2024-06-08,shenzhen ,Clothes,250.45,1,0.0,6.0,Alipay,paid
O100339,U0007,2024-02-12,shenzhen ,Home,60.53,1,0.05,6.0,CreditCard,paid
O100483,U0090,2024-01-13,  Shanghai,Clothes,247.93,1,0.0,6.0,Alipay,paid
O100052,U0064,2024-02-17,Guangzhou,Home,361.33,1,0.0,6.0,WeChat,paid
O100345,U0113,2024-04-04,  Shanghai,Clothes,610.27,1,0.1,6.0,Alipay,paid
O100264,U0113,2024-09-07,chengdu,Electronics,589.02,1,0.15,6.0,CreditCard,paid
O100241,U0037,2024-06-12,Guangzhou,Home,163.89,1,0.1,6.0,Alipay,paid
O100013,U0088,2024-07-08,shenzhen ,Home,306.85,1,,10.0,WeChat,paid
O100315,U0090,2024-03-15,shenzhen ,Clothes,683.48,2,0.0,0.0,CreditCard,paid
O100088,U0106,2024-01-16,chengdu,Home,36.34,2,0.0,0.0,WeChat,refund
O100387,U0080,2024-08-01,  Shanghai,Clothes,163.7,1,0.1,6.0,Alipay,paid
O100273,U0092,2024-03-03,,Electronics,64.5,5,0.0,0.0,WeChat,paid
O100166,U0101,2024-06-11,chengdu,Electronics,333.17,1,0.05,12.0,WeChat,paid
O100328,U0001,2024-05-12,Guangzhou,Home,757.64,4,0.0,6.0,WeChat,refund
O100484,U0017,2024-06-16,,Clothes,730.4,1,0.05,,Alipay,paid
O100134,U0011,2024-01-13,beijing,Clothes,588.22,1,0.0,10.0,WeChat,paid
O100306,U0059,2024-02-23,shenzhen ,Clothes,460.96,3,0.0,10.0,Alipay,paid
O100490,U0048,2024-02-07,  Shanghai,Home,257.71,1,0.0,6.0,WeChat,paid
O100319,U0096,2024-08-13,chengdu,Home,690.91,1,0.1,12.0,Alipay,paid
O100243,U0051,2024-05-15,shenzhen ,Home,280.92,1,0.15,10.0,WeChat,closed
O100054,U0101,2024-08-24,Guangzhou,Clothes,675.88,1,0.0,10.0,CreditCard,paid
O100363,U0054,2024-01-12,,Electronics,661.24,1,0.05,0.0,WeChat,paid
O100050,U0055,2024-05-05,beijing,Electronics,266.02,2,0.0,10.0,CreditCard,paid
O100465,U0025,2024-07-30,beijing,Electronics,223.02,1,0.0,10.0,WeChat,paid
O100174,U0014,2024-03-14,beijing,Clothes,631.36,2,0.0,10.0,WeChat,paid
O100445,U0099,2024-08-30,Guangzhou,Electronics,555.34,2,0.05,0.0,Alipay,paid
O100189,U0096,2024-08-04,shenzhen ,Clothes,369.92,1,0.0,10.0,CreditCard,paid
O100402,U0017,2024-01-17,shenzhen ,Clothes,149.44,2,0.0,14.0,CreditCard,paid
O100463,U0067,2024-05-12,  Shanghai,Clothes,634.99,1,0.1,0.0,WeChat,paid
O100187,U0113,2024-05-15,Guangzhou,Electronics,797.14,1,0.1,0.0,Alipay,paid
O100169,U0003,2024-08-22,Guangzhou,Electronics,452.97,3,0.0,12.0,WeChat,closed
O100058,U0073,2024-03-09,  Shanghai,Electronics,517.02,1,0.1,12.0,WeChat,paid
O100048,U0051,2024-08-26,  Shanghai,Electronics,765.16,2,0.0,6.0,WeChat,paid
O100344,U0060,2024-07-01,  Shanghai,Clothes,277.57,4,0.05,12.0,WeChat,refund
O100235,U0103,2024-01-12,beijing,Electronics,112.3,5,0.0,6.0,WeChat,paid
O100252,U0088,2024-07-19,beijing,Clothes,355.13,2,0.0,6.0,WeChat,paid
O100021,U0002,2024-04-10,  Shanghai,Electronics,34.97,1,0.05,6.0,WeChat,paid
O100313,U0036,2024-08-16,beijing,Electronics,195.75,2,0.0,10.0,WeChat,paid
O100459,U0085,2024-07-12,beijing,Electronics,529.47,1,0.0,10.0,Alipay,paid
O100160,U0104,2024-06-29,beijing,Electronics,380.01,2,0.15,12.0,CreditCard,paid
O100276,U0101,2024-04-07,shenzhen ,Clothes,212.64,2,0.1,10.0,WeChat,paid
O100443,U0117,2024-05-16,beijing,Electronics,547.42,2,0.1,0.0,Alipay,paid
O100191,U0094,2024-03-10,  Shanghai,Electronics,711.23,1,0.1,6.0,WeChat,paid
O100385,U0054,2024-05-06,chengdu,Home,129.75,3,0.05,10.0,WeChat,paid
O100293,U0017,2024-06-21,chengdu,Electronics,37.02,2,0.0,0.0,Alipay,paid
O100413,U0038,2024-05-24,shenzhen ,Home,166.18,4,0.0,6.0,WeChat,paid
O100343,U0116,2024-05-30,  Shanghai,Clothes,148.47,3,0.0,10.0,WeChat,paid
O100257,U0113,2024-02-04,beijing,Clothes,377.39,4,0.1,6.0,Alipay,paid
O100308,U0080,2024-08-09,beijing,Electronics,778.16,1,0.0,6.0,CreditCard,paid
O100149,U0012,2024-02-21,beijing,Electronics,591.59,2,0.1,10.0,Alipay,paid
O100130,U0108,2024-08-11,beijing,Home,216.75,1,0.0,0.0,Alipay,paid
O100151,U0033,2024-03-09,Guangzhou,Electronics,480.47,1,0.0,10.0,Alipay,paid
O100359,U0080,2024-01-22,chengdu,Home,440.19,2,0.1,6.0,Alipay,paid
O100099,U0100,2024-03-05,shenzhen ,Home,522.25,3,0.0,10.0,Alipay,paid
O100372,U0038,2024-08-01,beijing,Electronics,514.97,1,0.0,10.0,Alipay,paid
O100087,U0054,2024-01-04,beijing,Clothes,226.74,1,0.05,10.0,Alipay,paid
O100458,U0063,2024-03-02,chengdu,Home,257.08,1,0.0,0.0,Alipay,paid
O100330,U0092,2024-07-02,  Shanghai,Electronics,541.84,4,,10.0,Alipay,paid
O100214,U0028,2024-06-21,shenzhen ,Clothes,80.11,1,0.0,12.0,Alipay,paid
O100466,U0106,2024-08-12,shenzhen ,Clothes,727.61,2,0.15,6.0,CreditCard,paid
O100121,U0029,2024-07-10,beijing,Electronics,114.77,2,0.1,6.0,CreditCard,paid
O100082,U0050,2024-08-14,chengdu,Home,164.45,2,0.0,2.0,Alipay,paid
O100020,U0053,2024-02-23,chengdu,Clothes,395.45,1,0.1,0.0,Alipay,closed
O100188,U0052,2024-05-24,shenzhen ,Electronics,307.28,1,,6.0,CreditCard,paid
O100071,U0092,2024-08-05,chengdu,Electronics,578.73,1,0.0,10.0,WeChat,paid
O100106,U0087,2024-08-29,shenzhen ,Clothes,489.47,1,0.05,10.0,WeChat,paid
O100270,U0113,2024-08-26,beijing,Clothes,532.43,1,0.15,0.0,Alipay,paid
O100348,U0048,2024-07-13,beijing,Home,704.71,1,0.0,,WeChat,paid
O100435,U0064,2024-08-16,chengdu,Clothes,527.9,1,0.0,6.0,WeChat,paid
O100102,U0048,2024-02-13,  Shanghai,Clothes,775.42,1,0.0,6.0,WeChat,closed
